market	100.0	total = 2	deleted = 2
sunshine	100.0	total = 2	deleted = 2
old	5.714285714285714	total = 35	deleted = 2
interior	100.0	total = 2	deleted = 2
along	3.4482758620689653	total = 58	deleted = 2
color	100.0	total = 2	deleted = 2
behind	4.444444444444445	total = 45	deleted = 2
ribbon	100.0	total = 2	deleted = 2
not	0.544959128065395	total = 367	deleted = 2
beautifully	40.0	total = 5	deleted = 2
columns	100.0	total = 2	deleted = 2
shiny	22.22222222222222	total = 9	deleted = 2
her	1.4814814814814816	total = 135	deleted = 2
faucet	100.0	total = 2	deleted = 2
sponsor	40.0	total = 5	deleted = 2
round	100.0	total = 2	deleted = 2
scattering	100.0	total = 2	deleted = 2
blocks	66.66666666666666	total = 3	deleted = 2
pebbly	100.0	total = 2	deleted = 2
cluster	100.0	total = 2	deleted = 2
edge	7.142857142857142	total = 28	deleted = 2
Indian	16.666666666666664	total = 6	deleted = 1
tools	100.0	total = 1	deleted = 1
table	4.166666666666666	total = 24	deleted = 1
droplets	20.0	total = 5	deleted = 1
bricks	33.33333333333333	total = 3	deleted = 1
vertical	12.5	total = 8	deleted = 1
bottom	25.0	total = 4	deleted = 1
given	50.0	total = 2	deleted = 1
size	50.0	total = 2	deleted = 1
pattern	100.0	total = 1	deleted = 1
upon	50.0	total = 2	deleted = 1
dyed	5.263157894736842	total = 19	deleted = 1
lovely	100.0	total = 1	deleted = 1
dish	50.0	total = 2	deleted = 1
can	14.285714285714285	total = 7	deleted = 1
part	100.0	total = 1	deleted = 1
games	16.666666666666664	total = 6	deleted = 1
lemon	100.0	total = 1	deleted = 1
concentrated	100.0	total = 1	deleted = 1
beach	6.25	total = 16	deleted = 1
numbers	25.0	total = 4	deleted = 1
grotto	16.666666666666664	total = 6	deleted = 1
structure	100.0	total = 1	deleted = 1
end	8.333333333333332	total = 12	deleted = 1
stream	100.0	total = 1	deleted = 1
show	100.0	total = 1	deleted = 1
exciting	100.0	total = 1	deleted = 1
covering	33.33333333333333	total = 3	deleted = 1
wedding	16.666666666666664	total = 6	deleted = 1
patches	100.0	total = 1	deleted = 1
looking	0.4608294930875576	total = 217	deleted = 1
right	12.5	total = 8	deleted = 1
all	12.5	total = 8	deleted = 1
gallery	50.0	total = 2	deleted = 1
ocean	7.6923076923076925	total = 13	deleted = 1
only	20.0	total = 5	deleted = 1
model	100.0	total = 1	deleted = 1
shade	100.0	total = 1	deleted = 1
stars	100.0	total = 1	deleted = 1
older	9.090909090909092	total = 11	deleted = 1
target	16.666666666666664	total = 6	deleted = 1
plant	100.0	total = 1	deleted = 1
sugar	14.285714285714285	total = 7	deleted = 1
