lovely	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
part	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
lemon	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
concentrated	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
structure	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
stream	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
show	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
exciting	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
patches	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
model	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
shade	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
stars	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
plant	1.9801980198019802	total = 1	deleted = 1	frequency deleted = 100.0
not	1.08830223368844	total = 367	deleted = 2	frequency deleted = 0.544959128065395
looking	0.9197058636546653	total = 217	deleted = 1	frequency deleted = 0.4608294930875576
